 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
        98        12  0.214133E-03  -7727.8841  -7727.9483      0.0372
        99        12  0.214133E-03  -7726.9873  -7727.0516      0.0000
       100        12  0.214133E-03  -7727.7636  -7727.8278      0.0004
       101        12  0.214133E-03  -7727.1456  -7727.2098      0.0000
       102        12  0.214133E-03  -7727.8534  -7727.9176      0.0113
       103        12  0.214133E-03  -7727.7844  -7727.8486      0.0008
       104        12  0.214133E-03  -7726.9146  -7726.9789      0.0000
       105        12  0.214133E-03  -7727.6160  -7727.6803      0.0000
       106        12  0.214133E-03  -7727.6039  -7727.6682      0.0000
       107        12  0.214133E-03  -7727.6286  -7727.6928      0.0000
       108        12  0.214133E-03  -7727.6268  -7727.6910      0.0000
       109        12  0.214133E-03  -7726.9358  -7727.0001      0.0000
       110        12  0.214133E-03  -7727.5629  -7727.6271      0.0000
       111        12  0.214133E-03  -7726.9131  -7726.9773      0.0000
       112        12  0.214133E-03  -7727.6436  -7727.7079      0.0000
       113        12  0.214133E-03  -7727.0246  -7727.0888      0.0000
       114        12  0.214133E-03  -7727.6038  -7727.6680      0.0000
       115        12  0.214133E-03  -7727.5953  -7727.6596      0.0000
       116        12  0.214133E-03  -7727.0243  -7727.0885      0.0000
       117        12  0.214133E-03  -7727.5150  -7727.5793      0.0000
       118        12  0.214133E-03  -7727.4989  -7727.5632      0.0000
       119        12  0.214133E-03  -7727.4796  -7727.5438      0.0000
       120        12  0.214133E-03  -7727.5561  -7727.6203      0.0000
       121        12  0.214133E-03  -7727.0522  -7727.1164      0.0000
       122        12  0.214133E-03  -7727.5164  -7727.5806      0.0000
       123        12  0.214133E-03  -7726.9309  -7726.9952      0.0000
       124        12  0.214133E-03  -7727.5552  -7727.6195      0.0000
       125        12  0.214133E-03  -7726.9372  -7727.0014      0.0000
       126        12  0.214133E-03  -7727.5110  -7727.5753      0.0000
       127        12  0.214133E-03  -7727.5188  -7727.5830      0.0000
       128        12  0.214133E-03  -7726.9031  -7726.9673      0.0000
       129        12  0.214133E-03  -7727.0118  -7727.0760      0.0000
       130        12  0.214133E-03  -7727.0044  -7727.0686      0.0000
       131        12  0.214133E-03  -7727.0257  -7727.0899      0.0000
       132        12  0.214133E-03  -7726.8827  -7726.9470      0.0000
       133        12  0.214133E-03  -7726.9997  -7727.0639      0.0000
       134        12  0.214133E-03  -7727.0159  -7727.0802      0.0000
       135        12  0.214133E-03  -7726.9568  -7727.0210      0.0000
       136        12  0.214133E-03  -7727.0169  -7727.0811      0.0000
       137        12  0.214133E-03  -7726.9543  -7727.0186      0.0000
       138        12  0.214133E-03  -7727.0098  -7727.0740      0.0000
       139        12  0.214133E-03  -7727.0190  -7727.0832      0.0000
       140        12  0.214133E-03  -7727.4223  -7727.4865      0.0000
       141        12  0.214133E-03  -7727.0857  -7727.1499      0.0000
       142        12  0.214133E-03  -7727.7268  -7727.7911      0.0001
       143        12  0.214133E-03  -7727.6483  -7727.7125      0.0000
       144        12  0.214133E-03  -7727.7652  -7727.8294      0.0004
       145        12  0.214133E-03  -7726.9543  -7727.0185      0.0000
       146        12  0.214133E-03  -7727.5204  -7727.5846      0.0000
       147        12  0.214133E-03  -7726.9605  -7727.0248      0.0000
       148        12  0.214133E-03  -7727.5376  -7727.6018      0.0000
       149        12  0.214133E-03  -7727.5973  -7727.6615      0.0000
       150        12  0.214133E-03  -7727.5389  -7727.6031      0.0000
       151        12  0.214133E-03  -7726.8788  -7726.9431      0.0000
       152        12  0.214133E-03  -7727.4901  -7727.5543      0.0000
       153        12  0.214133E-03  -7726.8768  -7726.9411      0.0000
       154        12  0.214133E-03  -7727.4261  -7727.4903      0.0000
       155        12  0.214133E-03  -7727.4742  -7727.5385      0.0000
       156        12  0.214133E-03  -7727.4534  -7727.5176      0.0000
       157        12  0.214133E-03  -7726.9807  -7727.0449      0.0000
       158        12  0.214133E-03  -7726.8503  -7726.9145      0.0000
       159        12  0.214133E-03  -7726.8846  -7726.9488      0.0000
       160        12  0.214133E-03  -7726.9469  -7727.0112      0.0000
       161        12  0.214133E-03  -7726.9557  -7727.0199      0.0000
       162        12  0.214133E-03  -7726.9221  -7726.9863      0.0000
       163        12  0.214133E-03  -7726.9395  -7727.0037      0.0000
       164        12  0.214133E-03  -7727.0037  -7727.0680      0.0000
       165        12  0.214133E-03  -7727.7352  -7727.7995      0.0001
       166        12  0.214133E-03  -7727.8286  -7727.8929      0.0044
       167        12  0.214133E-03  -7727.8150  -7727.8793      0.0026
       168        12  0.214133E-03  -7727.7452  -7727.8095      0.0002
       169        12  0.214133E-03  -7727.1166  -7727.1808      0.0000
       170        12  0.214133E-03  -7727.0294  -7727.0936      0.0000
       171        12  0.214133E-03  -7727.6005  -7727.6647      0.0000
       172        12  0.214133E-03  -7727.5677  -7727.6319      0.0000
       173        12  0.214133E-03  -7727.6302  -7727.6945      0.0000
       174        12  0.214133E-03  -7727.6388  -7727.7030      0.0000
       175        12  0.214133E-03  -7726.9106  -7726.9749      0.0000
       176        12  0.214133E-03  -7726.9511  -7727.0154      0.0000
       177        12  0.214133E-03  -7727.5325  -7727.5967      0.0000
       178        12  0.214133E-03  -7727.5036  -7727.5679      0.0000
       179        12  0.214133E-03  -7727.5021  -7727.5664      0.0000
       180        12  0.214133E-03  -7727.5272  -7727.5915      0.0000
       181        12  0.214133E-03  -7727.0575  -7727.1217      0.0000
       182        12  0.214133E-03  -7726.8410  -7726.9052      0.0000
       183        12  0.214133E-03  -7727.0028  -7727.0671      0.0000
       184        12  0.214133E-03  -7727.0255  -7727.0898      0.0000
       185        12  0.214133E-03  -7727.0178  -7727.0821      0.0000
       186        12  0.214133E-03  -7726.9959  -7727.0602      0.0000
       187        12  0.214133E-03  -7727.0155  -7727.0797      0.0000
       188        12  0.214133E-03  -7727.4401  -7727.5043      0.0000
       189        12  0.214133E-03  -7727.7366  -7727.8008      0.0001
       190        12  0.214133E-03  -7727.1650  -7727.2293      0.0000
       191        12  0.214133E-03  -7727.6976  -7727.7618      0.0000
       192        12  0.214133E-03  -7727.7200  -7727.7843      0.0001
       193        12  0.214133E-03  -7727.0559  -7727.1201      0.0000
       194        12  0.214133E-03  -7727.6130  -7727.6772      0.0000
       195        12  0.214133E-03  -7727.5313  -7727.5956      0.0000
       196        12  0.214133E-03  -7727.0096  -7727.0739      0.0000
       197        12  0.214133E-03  -7727.6481  -7727.7123      0.0000
       198        12  0.214133E-03  -7727.6265  -7727.6907      0.0000
       199        12  0.214133E-03  -7726.9171  -7726.9814      0.0000
       200        12  0.214133E-03  -7727.5342  -7727.5985      0.0000
       201        12  0.214133E-03  -7727.5135  -7727.5777      0.0000
       202        12  0.214133E-03  -7726.9181  -7726.9823      0.0000
       203        12  0.214133E-03  -7727.4891  -7727.5533      0.0000
       204        12  0.214133E-03  -7727.5423  -7727.6066      0.0000
       205        12  0.214133E-03  -7727.0354  -7727.0997      0.0000
       206        12  0.214133E-03  -7726.8833  -7726.9475      0.0000
       207        12  0.214133E-03  -7726.9951  -7727.0594      0.0000
       208        12  0.214133E-03  -7726.9437  -7727.0080      0.0000
       209        12  0.214133E-03  -7727.0004  -7727.0646      0.0000
       210        12  0.214133E-03  -7726.9817  -7727.0459      0.0000
       211        12  0.214133E-03  -7726.9861  -7727.0503      0.0000
       212        12  0.214133E-03  -7727.2959  -7727.3602      0.0000
       213        12  0.214133E-03  -7727.6735  -7727.7377      0.0000
       214        12  0.214133E-03  -7727.6459  -7727.7102      0.0000
       215        12  0.214133E-03  -7727.7150  -7727.7793      0.0001
       216        12  0.214133E-03  -7727.1002  -7727.1644      0.0000
       217        12  0.214133E-03  -7727.0034  -7727.0676      0.0000
       218        12  0.214133E-03  -7727.5395  -7727.6038      0.0000
       219        12  0.214133E-03  -7727.4747  -7727.5390      0.0000
       220        12  0.214133E-03  -7727.5166  -7727.5808      0.0000
       221        12  0.214133E-03  -7727.5296  -7727.5938      0.0000
       222        12  0.214133E-03  -7726.9495  -7727.0137      0.0000
       223        12  0.214133E-03  -7726.7966  -7726.8609      0.0000
       224        12  0.214133E-03  -7727.4765  -7727.5407      0.0000
       225        12  0.214133E-03  -7727.4110  -7727.4752      0.0000
       226        12  0.214133E-03  -7727.3871  -7727.4513      0.0000
       227        12  0.214133E-03  -7727.4397  -7727.5040      0.0000
       228        12  0.214133E-03  -7726.8602  -7726.9245      0.0000
       229        12  0.214133E-03  -7726.8115  -7726.8757      0.0000
       230        12  0.214133E-03  -7726.8253  -7726.8895      0.0000
       231        12  0.214133E-03  -7726.9133  -7726.9775      0.0000
       232        12  0.214133E-03  -7726.9281  -7726.9924      0.0000
       233        12  0.214133E-03  -7726.9334  -7726.9976      0.0000
       234        12  0.214133E-03  -7726.8554  -7726.9196      0.0000
       235        12  0.214133E-03  -7726.9184  -7726.9826      0.0000
       236        12  0.214133E-03  -7727.3678  -7727.4320      0.0000
       237        12  0.214133E-03  -7727.5381  -7727.6023      0.0000
       238        12  0.214133E-03  -7727.6147  -7727.6790      0.0000
       239        12  0.214133E-03  -7727.0555  -7727.1198      0.0000
       240        12  0.214133E-03  -7727.6699  -7727.7342      0.0000
       241        12  0.214133E-03  -7727.0096  -7727.0738      0.0000
       242        12  0.214133E-03  -7727.4746  -7727.5389      0.0000
       243        12  0.214133E-03  -7727.4691  -7727.5333      0.0000
       244        12  0.214133E-03  -7727.4870  -7727.5512      0.0000
       245        12  0.214133E-03  -7726.9311  -7726.9953      0.0000
       246        12  0.214133E-03  -7727.5116  -7727.5758      0.0000
       247        12  0.214133E-03  -7726.7896  -7726.8538      0.0000
       248        12  0.214133E-03  -7727.4118  -7727.4761      0.0000
       249        12  0.214133E-03  -7727.3780  -7727.4422      0.0000
       250        12  0.214133E-03  -7727.3869  -7727.4512      0.0000
       251        12  0.214133E-03  -7726.8231  -7726.8873      0.0000
       252        12  0.214133E-03  -7727.4210  -7727.4852      0.0000
       253        12  0.214133E-03  -7726.9342  -7726.9985      0.0000
       254        12  0.214133E-03  -7726.7816  -7726.8458      0.0000
       255        12  0.214133E-03  -7726.8818  -7726.9460      0.0000
       256        12  0.214133E-03  -7726.9000  -7726.9642      0.0000
       257        12  0.214133E-03  -7726.8370  -7726.9012      0.0000
       258        12  0.214133E-03  -7726.8667  -7726.9309      0.0000
       259        12  0.214133E-03  -7726.8881  -7726.9523      0.0000
