 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
       656        12  0.214133E-03  -7727.4478  -7727.5120      0.0000
       657        12  0.214133E-03  -7727.4498  -7727.5141      0.0000
       658        12  0.214133E-03  -7727.3811  -7727.4454      0.0000
       659        12  0.214133E-03  -7726.8124  -7726.8767      0.0000
       660        12  0.214133E-03  -7726.9082  -7726.9724      0.0000
       661        12  0.214133E-03  -7726.8772  -7726.9414      0.0000
       662        12  0.214133E-03  -7726.8853  -7726.9495      0.0000
       663        12  0.214133E-03  -7726.8815  -7726.9457      0.0000
       664        12  0.214133E-03  -7726.9116  -7726.9758      0.0000
       665        12  0.214133E-03  -7726.9028  -7726.9670      0.0000
       666        12  0.214133E-03  -7726.8456  -7726.9098      0.0000
       667        12  0.214133E-03  -7726.7976  -7726.8618      0.0000
       668        12  0.214133E-03  -7726.9580  -7727.0222      0.0000
       669        12  0.214133E-03  -7726.9029  -7726.9671      0.0000
       670        12  0.214133E-03  -7726.9084  -7726.9727      0.0000
       671        12  0.214133E-03  -7727.7079  -7727.7722      0.0000
       672        12  0.214133E-03  -7727.6066  -7727.6709      0.0000
       673        12  0.214133E-03  -7726.8440  -7726.9082      0.0000
       674        12  0.214133E-03  -7727.4192  -7727.4834      0.0000
       675        12  0.214133E-03  -7727.4225  -7727.4867      0.0000
       676        12  0.214133E-03  -7727.4892  -7727.5535      0.0000
       677        12  0.214133E-03  -7727.4699  -7727.5342      0.0000
       678        12  0.214133E-03  -7726.7456  -7726.8098      0.0000
       679        12  0.214133E-03  -7727.3922  -7727.4564      0.0000
       680        12  0.214133E-03  -7726.7915  -7726.8557      0.0000
       681        12  0.214133E-03  -7727.4878  -7727.5520      0.0000
       682        12  0.214133E-03  -7726.8885  -7726.9528      0.0000
       683        12  0.214133E-03  -7727.4402  -7727.5045      0.0000
       684        12  0.214133E-03  -7727.4544  -7727.5186      0.0000
       685        12  0.214133E-03  -7726.8668  -7726.9310      0.0000
       686        12  0.214133E-03  -7727.3508  -7727.4151      0.0000
       687        12  0.214133E-03  -7727.3273  -7727.3915      0.0000
       688        12  0.214133E-03  -7727.3337  -7727.3980      0.0000
       689        12  0.214133E-03  -7727.3952  -7727.4595      0.0000
       690        12  0.214133E-03  -7726.8888  -7726.9530      0.0000
       691        12  0.214133E-03  -7727.3471  -7727.4113      0.0000
       692        12  0.214133E-03  -7726.7919  -7726.8562      0.0000
       693        12  0.214133E-03  -7727.4179  -7727.4821      0.0000
       694        12  0.214133E-03  -7726.7141  -7726.7784      0.0000
       695        12  0.214133E-03  -7727.3409  -7727.4052      0.0000
       696        12  0.214133E-03  -7727.3635  -7727.4277      0.0000
       697        12  0.214133E-03  -7726.7146  -7726.7788      0.0000
       698        12  0.214133E-03  -7726.8544  -7726.9186      0.0000
       699        12  0.214133E-03  -7726.8360  -7726.9002      0.0000
       700        12  0.214133E-03  -7726.8628  -7726.9270      0.0000
       701        12  0.214133E-03  -7726.7933  -7726.8576      0.0000
       702        12  0.214133E-03  -7726.8657  -7726.9299      0.0000
       703        12  0.214133E-03  -7726.8593  -7726.9235      0.0000
       704        12  0.214133E-03  -7726.8368  -7726.9010      0.0000
       705        12  0.214133E-03  -7726.8490  -7726.9132      0.0000
       706        12  0.214133E-03  -7726.7408  -7726.8051      0.0000
       707        12  0.214133E-03  -7726.8423  -7726.9066      0.0000
       708        12  0.214133E-03  -7726.8490  -7726.9133      0.0000
       709        12  0.214133E-03  -7727.7049  -7727.7691      0.0000
       710        12  0.214133E-03  -7727.5438  -7727.6080      0.0000
       711        12  0.214133E-03  -7727.5071  -7727.5713      0.0000
       712        12  0.214133E-03  -7726.9345  -7726.9987      0.0000
       713        12  0.214133E-03  -7727.5906  -7727.6549      0.0000
       714        12  0.214133E-03  -7727.5354  -7727.5996      0.0000
       715        12  0.214133E-03  -7726.8765  -7726.9408      0.0000
       716        12  0.214133E-03  -7727.5475  -7727.6117      0.0000
       717        12  0.214133E-03  -7726.8152  -7726.8795      0.0000
       718        12  0.214133E-03  -7727.5577  -7727.6220      0.0000
       719        12  0.214133E-03  -7727.5550  -7727.6193      0.0000
       720        12  0.214133E-03  -7727.0028  -7727.0671      0.0000
       721        12  0.214133E-03  -7727.5675  -7727.6317      0.0000
       722        12  0.214133E-03  -7727.4710  -7727.5353      0.0000
       723        12  0.214133E-03  -7727.4571  -7727.5214      0.0000
       724        12  0.214133E-03  -7726.9809  -7727.0451      0.0000
       725        12  0.214133E-03  -7727.4682  -7727.5325      0.0000
       726        12  0.214133E-03  -7727.4569  -7727.5212      0.0000
       727        12  0.214133E-03  -7726.9858  -7727.0500      0.0000
       728        12  0.214133E-03  -7727.5204  -7727.5846      0.0000
       729        12  0.214133E-03  -7726.8650  -7726.9292      0.0000
       730        12  0.214133E-03  -7727.4632  -7727.5274      0.0000
       731        12  0.214133E-03  -7727.4891  -7727.5534      0.0000
       732        12  0.214133E-03  -7726.7881  -7726.8524      0.0000
       733        12  0.214133E-03  -7727.4388  -7727.5030      0.0000
       734        12  0.214133E-03  -7726.8406  -7726.9049      0.0000
       735        12  0.214133E-03  -7726.9162  -7726.9805      0.0000
       736        12  0.214133E-03  -7726.9452  -7727.0094      0.0000
       737        12  0.214133E-03  -7726.9082  -7726.9724      0.0000
       738        12  0.214133E-03  -7726.9562  -7727.0204      0.0000
       739        12  0.214133E-03  -7726.9490  -7727.0132      0.0000
       740        12  0.214133E-03  -7726.9524  -7727.0167      0.0000
       741        12  0.214133E-03  -7726.8870  -7726.9513      0.0000
       742        12  0.214133E-03  -7726.9971  -7727.0613      0.0000
       743        12  0.214133E-03  -7726.9499  -7727.0141      0.0000
       744        12  0.214133E-03  -7726.8299  -7726.8941      0.0000
       745        12  0.214133E-03  -7726.9378  -7727.0021      0.0000
       746        12  0.214133E-03  -7727.4405  -7727.5047      0.0000
       747        12  0.214133E-03  -7726.8498  -7726.9140      0.0000
       748        12  0.214133E-03  -7727.4223  -7727.4866      0.0000
       749        12  0.214133E-03  -7727.4668  -7727.5311      0.0000
       750        12  0.214133E-03  -7727.4607  -7727.5249      0.0000
       751        12  0.214133E-03  -7726.7660  -7726.8302      0.0000
       752        12  0.214133E-03  -7727.4155  -7727.4797      0.0000
       753        12  0.214133E-03  -7726.8262  -7726.8904      0.0000
       754        12  0.214133E-03  -7727.4338  -7727.4981      0.0000
       755        12  0.214133E-03  -7727.4854  -7727.5497      0.0000
       756        12  0.214133E-03  -7727.4180  -7727.4822      0.0000
       757        12  0.214133E-03  -7726.9090  -7726.9732      0.0000
       758        12  0.214133E-03  -7727.3854  -7727.4497      0.0000
       759        12  0.214133E-03  -7726.8815  -7726.9457      0.0000
       760        12  0.214133E-03  -7727.3123  -7727.3765      0.0000
       761        12  0.214133E-03  -7727.3392  -7727.4035      0.0000
       762        12  0.214133E-03  -7727.3536  -7727.4179      0.0000
       763        12  0.214133E-03  -7726.7134  -7726.7776      0.0000
       764        12  0.214133E-03  -7727.3706  -7727.4349      0.0000
       765        12  0.214133E-03  -7726.7829  -7726.8471      0.0000
       766        12  0.214133E-03  -7727.3391  -7727.4034      0.0000
       767        12  0.214133E-03  -7727.3768  -7727.4410      0.0000
       768        12  0.214133E-03  -7727.3533  -7727.4176      0.0000
       769        12  0.214133E-03  -7726.6903  -7726.7545      0.0000
       770        12  0.214133E-03  -7726.7048  -7726.7690      0.0000
       771        12  0.214133E-03  -7726.8341  -7726.8983      0.0000
       772        12  0.214133E-03  -7726.8666  -7726.9308      0.0000
       773        12  0.214133E-03  -7726.8764  -7726.9407      0.0000
       774        12  0.214133E-03  -7726.8363  -7726.9005      0.0000
       775        12  0.214133E-03  -7726.7998  -7726.8640      0.0000
       776        12  0.214133E-03  -7726.9052  -7726.9694      0.0000
       777        12  0.214133E-03  -7726.7808  -7726.8450      0.0000
       778        12  0.214133E-03  -7726.8472  -7726.9115      0.0000
       779        12  0.214133E-03  -7726.8409  -7726.9051      0.0000
       780        12  0.214133E-03  -7726.8464  -7726.9107      0.0000
       781        12  0.214133E-03  -7726.7325  -7726.7968      0.0000
       782        12  0.214133E-03  -7727.2913  -7727.3556      0.0000
       783        12  0.214133E-03  -7727.3022  -7727.3664      0.0000
       784        12  0.214133E-03  -7727.3503  -7727.4145      0.0000
       785        12  0.214133E-03  -7727.3151  -7727.3794      0.0000
       786        12  0.214133E-03  -7726.6336  -7726.6978      0.0000
       787        12  0.214133E-03  -7727.2621  -7727.3264      0.0000
       788        12  0.214133E-03  -7726.5928  -7726.6570      0.0000
       789        12  0.214133E-03  -7727.2778  -7727.3420      0.0000
       790        12  0.214133E-03  -7726.6767  -7726.7409      0.0000
       791        12  0.214133E-03  -7727.2069  -7727.2712      0.0000
       792        12  0.214133E-03  -7727.2877  -7727.3519      0.0000
       793        12  0.214133E-03  -7726.6748  -7726.7390      0.0000
       794        12  0.214133E-03  -7727.2023  -7727.2665      0.0000
       795        12  0.214133E-03  -7727.1273  -7727.1915      0.0000
       796        12  0.214133E-03  -7727.1897  -7727.2539      0.0000
       797        12  0.214133E-03  -7726.9877  -7727.0520      0.0000
       798        12  0.214133E-03  -7726.7430  -7726.8072      0.0000
       799        12  0.214133E-03  -7727.2504  -7727.3147      0.0000
       800        12  0.214133E-03  -7726.6373  -7726.7015      0.0000
       801        12  0.214133E-03  -7727.2007  -7727.2649      0.0000
       802        12  0.214133E-03  -7726.7099  -7726.7742      0.0000
       803        12  0.214133E-03  -7727.1971  -7727.2613      0.0000
       804        12  0.214133E-03  -7727.2076  -7727.2718      0.0000
       805        12  0.214133E-03  -7726.6000  -7726.6642      0.0000
       806        12  0.214133E-03  -7726.6911  -7726.7554      0.0000
       807        12  0.214133E-03  -7726.7032  -7726.7675      0.0000
       808        12  0.214133E-03  -7726.7149  -7726.7792      0.0000
       809        12  0.214133E-03  -7726.6158  -7726.6801      0.0000
       810        12  0.214133E-03  -7726.6893  -7726.7536      0.0000
       811        12  0.214133E-03  -7726.7055  -7726.7697      0.0000
       812        12  0.214133E-03  -7726.6016  -7726.6659      0.0000
       813        12  0.214133E-03  -7726.7251  -7726.7893      0.0000
       814        12  0.214133E-03  -7726.7450  -7726.8092      0.0000
       815        12  0.214133E-03  -7726.7043  -7726.7686      0.0000
       816        12  0.214133E-03  -7726.7107  -7726.7749      0.0000
       817        12  0.214133E-03  -7727.2685  -7727.3328      0.0000
       818        12  0.214133E-03  -7727.2972  -7727.3614      0.0000
       819        12  0.214133E-03  -7727.2917  -7727.3560      0.0000
       820        12  0.214133E-03  -7726.5788  -7726.6431      0.0000
       821        12  0.214133E-03  -7727.2030  -7727.2673      0.0000
       822        12  0.214133E-03  -7726.5436  -7726.6078      0.0000
       823        12  0.214133E-03  -7727.2672  -7727.3314      0.0000
       824        12  0.214133E-03  -7727.2087  -7727.2729      0.0000
       825        12  0.214133E-03  -7727.2206  -7727.2849      0.0000
       826        12  0.214133E-03  -7726.6922  -7726.7565      0.0000
       827        12  0.214133E-03  -7727.1538  -7727.2180      0.0000
       828        12  0.214133E-03  -7726.6619  -7726.7262      0.0000
       829        12  0.214133E-03  -7727.1386  -7727.2028      0.0000
       830        12  0.214133E-03  -7727.1328  -7727.1971      0.0000
       831        12  0.214133E-03  -7727.1751  -7727.2393      0.0000
       832        12  0.214133E-03  -7726.6589  -7726.7231      0.0000
       833        12  0.214133E-03  -7727.2090  -7727.2733      0.0000
       834        12  0.214133E-03  -7726.5884  -7726.6526      0.0000
       835        12  0.214133E-03  -7727.2122  -7727.2764      0.0000
       836        12  0.214133E-03  -7727.2056  -7727.2698      0.0000
       837        12  0.214133E-03  -7727.1659  -7727.2301      0.0000
       838        12  0.214133E-03  -7726.6730  -7726.7372      0.0000
       839        12  0.214133E-03  -7726.5495  -7726.6137      0.0000
       840        12  0.214133E-03  -7726.6611  -7726.7253      0.0000
       841        12  0.214133E-03  -7726.6683  -7726.7325      0.0000
       842        12  0.214133E-03  -7726.6694  -7726.7337      0.0000
       843        12  0.214133E-03  -7726.6580  -7726.7223      0.0000
       844        12  0.214133E-03  -7726.5972  -7726.6615      0.0000
       845        12  0.214133E-03  -7726.6462  -7726.7104      0.0000
       846        12  0.214133E-03  -7726.6320  -7726.6962      0.0000
       847        12  0.214133E-03  -7726.6611  -7726.7253      0.0000
       848        12  0.214133E-03  -7726.6746  -7726.7388      0.0000
       849        12  0.214133E-03  -7726.6714  -7726.7356      0.0000
       850        12  0.214133E-03  -7726.7055  -7726.7697      0.0000
       851        12  0.214133E-03  -7727.3150  -7727.3792      0.0000
       852        12  0.214133E-03  -7727.2847  -7727.3490      0.0000
       853        12  0.214133E-03  -7726.5239  -7726.5881      0.0000
       854        12  0.214133E-03  -7727.2084  -7727.2726      0.0000
       855        12  0.214133E-03  -7726.6079  -7726.6721      0.0000
       856        12  0.214133E-03  -7727.2555  -7727.3198      0.0000
       857        12  0.214133E-03  -7727.2675  -7727.3317      0.0000
       858        12  0.214133E-03  -7726.6731  -7726.7374      0.0000
       859        12  0.214133E-03  -7727.2149  -7727.2791      0.0000
       860        12  0.214133E-03  -7727.2121  -7727.2763      0.0000
       861        12  0.214133E-03  -7727.1306  -7727.1949      0.0000
       862        12  0.214133E-03  -7726.6702  -7726.7345      0.0000
       863        12  0.214133E-03  -7726.9480  -7727.0122      0.0000
       864        12  0.214133E-03  -7727.1620  -7727.2262      0.0000
       865        12  0.214133E-03  -7726.7159  -7726.7801      0.0000
       866        12  0.214133E-03  -7727.1779  -7727.2421      0.0000
       867        12  0.214133E-03  -7726.6192  -7726.6834      0.0000
       868        12  0.214133E-03  -7727.2170  -7727.2812      0.0000
       869        12  0.214133E-03  -7727.2148  -7727.2791      0.0000
       870        12  0.214133E-03  -7726.6875  -7726.7517      0.0000
       871        12  0.214133E-03  -7727.1799  -7727.2441      0.0000
       872        12  0.214133E-03  -7726.5652  -7726.6295      0.0000
       873        12  0.214133E-03  -7726.6669  -7726.7311      0.0000
       874        12  0.214133E-03  -7726.6840  -7726.7482      0.0000
       875        12  0.214133E-03  -7726.6121  -7726.6764      0.0000
       876        12  0.214133E-03  -7726.6576  -7726.7218      0.0000
       877        12  0.214133E-03  -7726.6770  -7726.7412      0.0000
       878        12  0.214133E-03  -7726.7117  -7726.7759      0.0000
       879        12  0.214133E-03  -7726.6142  -7726.6784      0.0000
       880        12  0.214133E-03  -7726.6490  -7726.7133      0.0000
       881        12  0.214133E-03  -7726.6909  -7726.7551      0.0000
       882        12  0.214133E-03  -7726.7010  -7726.7652      0.0000
       883        12  0.214133E-03  -7726.6813  -7726.7455      0.0000
       884        12  0.214133E-03  -7727.3654  -7727.4297      0.0000
       885        12  0.214133E-03  -7726.6602  -7726.7244      0.0000
       886        12  0.214133E-03  -7726.6962  -7726.7605      0.0000
       887        12  0.214133E-03  -7726.7527  -7726.8169      0.0000
       888        12  0.214133E-03  -7727.3178  -7727.3821      0.0000
       889        12  0.214133E-03  -7727.3440  -7727.4083      0.0000
       890        12  0.214133E-03  -7727.2807  -7727.3450      0.0000
       891        12  0.214133E-03  -7727.3142  -7727.3784      0.0000
       892        12  0.214133E-03  -7727.2505  -7727.3147      0.0000
       893        12  0.214133E-03  -7727.0005  -7727.0647      0.0000
       894        12  0.214133E-03  -7727.1677  -7727.2319      0.0000
       895        12  0.214133E-03  -7726.7159  -7726.7801      0.0000
       896        12  0.214133E-03  -7727.2562  -7727.3205      0.0000
       897        12  0.214133E-03  -7726.7664  -7726.8306      0.0000
       898        12  0.214133E-03  -7726.7402  -7726.8044      0.0000
       899        12  0.214133E-03  -7726.6606  -7726.7249      0.0000
       900        12  0.214133E-03  -7727.2562  -7727.3205      0.0000
       901        12  0.214133E-03  -7727.2934  -7727.3577      0.0000
       902        12  0.214133E-03  -7727.2532  -7727.3175      0.0000
       903        12  0.214133E-03  -7727.2107  -7727.2750      0.0000
       904        12  0.214133E-03  -7726.6272  -7726.6914      0.0000
       905        12  0.214133E-03  -7726.6571  -7726.7213      0.0000
       906        12  0.214133E-03  -7726.7363  -7726.8005      0.0000
       907        12  0.214133E-03  -7726.7371  -7726.8014      0.0000
       908        12  0.214133E-03  -7726.7096  -7726.7738      0.0000
       909        12  0.214133E-03  -7726.7192  -7726.7835      0.0000
       910        12  0.214133E-03  -7726.7690  -7726.8332      0.0000
       911        12  0.214133E-03  -7726.6715  -7726.7357      0.0000
       912        12  0.214133E-03  -7726.7373  -7726.8016      0.0000
       913        12  0.214133E-03  -7726.7334  -7726.7976      0.0000
       914        12  0.214133E-03  -7726.7012  -7726.7654      0.0000
       915        12  0.214133E-03  -7726.7617  -7726.8260      0.0000
       916        12  0.214133E-03  -7726.6235  -7726.6877      0.0000
       917        12  0.214133E-03  -7727.2038  -7727.2680      0.0000
       918        12  0.214133E-03  -7726.5985  -7726.6627      0.0000
       919        12  0.214133E-03  -7726.6926  -7726.7569      0.0000
       920        12  0.214133E-03  -7727.2927  -7727.3569      0.0000
       921        12  0.214133E-03  -7727.2541  -7727.3183      0.0000
       922        12  0.214133E-03  -7727.3157  -7727.3800      0.0000
       923        12  0.214133E-03  -7727.2059  -7727.2702      0.0000
       924        12  0.214133E-03  -7727.1984  -7727.2627      0.0000
       925        12  0.214133E-03  -7726.9511  -7727.0153      0.0000
       926        12  0.214133E-03  -7727.1666  -7727.2309      0.0000
       927        12  0.214133E-03  -7726.6992  -7726.7634      0.0000
       928        12  0.214133E-03  -7726.7540  -7726.8183      0.0000
       929        12  0.214133E-03  -7727.2346  -7727.2989      0.0000
       930        12  0.214133E-03  -7726.6341  -7726.6983      0.0000
       931        12  0.214133E-03  -7726.7098  -7726.7741      0.0000
       932        12  0.214133E-03  -7727.2667  -7727.3310      0.0000
       933        12  0.214133E-03  -7727.1816  -7727.2458      0.0000
       934        12  0.214133E-03  -7727.2362  -7727.3005      0.0000
       935        12  0.214133E-03  -7726.5967  -7726.6609      0.0000
       936        12  0.214133E-03  -7726.7101  -7726.7743      0.0000
       937        12  0.214133E-03  -7726.6433  -7726.7075      0.0000
       938        12  0.214133E-03  -7726.7075  -7726.7718      0.0000
       939        12  0.214133E-03  -7726.6908  -7726.7550      0.0000
       940        12  0.214133E-03  -7726.6942  -7726.7584      0.0000
       941        12  0.214133E-03  -7726.7189  -7726.7832      0.0000
       942        12  0.214133E-03  -7726.6548  -7726.7190      0.0000
       943        12  0.214133E-03  -7726.7370  -7726.8012      0.0000
       944        12  0.214133E-03  -7726.6828  -7726.7470      0.0000
       945        12  0.214133E-03  -7726.7328  -7726.7971      0.0000
       946        12  0.214133E-03  -7726.7054  -7726.7696      0.0000
       947        12  0.214133E-03  -7726.4989  -7726.5631      0.0000
       948        12  0.214133E-03  -7725.9828  -7726.0471      0.0000
       949        12  0.214133E-03  -7726.6284  -7726.6927      0.0000
       950        12  0.214133E-03  -7726.6053  -7726.6696      0.0000
       951        12  0.214133E-03  -7726.6051  -7726.6693      0.0000
       952        12  0.214133E-03  -7726.6326  -7726.6968      0.0000
       953        12  0.214133E-03  -7726.4865  -7726.5507      0.0000
       954        12  0.214133E-03  -7726.5194  -7726.5836      0.0000
       955        12  0.214133E-03  -7726.4135  -7726.4777      0.0000
       956        12  0.214133E-03  -7726.5358  -7726.6000      0.0000
       957        12  0.214133E-03  -7726.5279  -7726.5921      0.0000
       958        12  0.214133E-03  -7725.9519  -7726.0161      0.0000
       959        12  0.214133E-03  -7726.5376  -7726.6018      0.0000
       960        12  0.214133E-03  -7725.9164  -7725.9807      0.0000
       961        12  0.214133E-03  -7726.5383  -7726.6026      0.0000
       962        12  0.214133E-03  -7726.5568  -7726.6210      0.0000
       963        12  0.214133E-03  -7726.5164  -7726.5807      0.0000
       964        12  0.214133E-03  -7726.4472  -7726.5114      0.0000
       965        12  0.214133E-03  -7725.7585  -7725.8228      0.0000
       966        12  0.214133E-03  -7726.0156  -7726.0798      0.0000
       967        12  0.214133E-03  -7726.0315  -7726.0958      0.0000
       968        12  0.214133E-03  -7726.0199  -7726.0841      0.0000
       969        12  0.214133E-03  -7725.9839  -7726.0482      0.0000
       970        12  0.214133E-03  -7726.0111  -7726.0753      0.0000
       971        12  0.214133E-03  -7726.0243  -7726.0885      0.0000
       972        12  0.214133E-03  -7725.9142  -7725.9784      0.0000
       973        12  0.214133E-03  -7726.0083  -7726.0725      0.0000
       974        12  0.214133E-03  -7726.0440  -7726.1083      0.0000
       975        12  0.214133E-03  -7726.0141  -7726.0783      0.0000
       976        12  0.214133E-03  -7726.0132  -7726.0775      0.0000
       977        12  0.214133E-03  -7726.6444  -7726.7086      0.0000
       978        12  0.214133E-03  -7727.2993  -7727.3636      0.0000
       979        12  0.214133E-03  -7727.2972  -7727.3614      0.0000
       980        12  0.214133E-03  -7727.2444  -7727.3087      0.0000
       981        12  0.214133E-03  -7727.2729  -7727.3371      0.0000
       982        12  0.214133E-03  -7727.2303  -7727.2945      0.0000
       983        12  0.214133E-03  -7727.1929  -7727.2572      0.0000
       984        12  0.214133E-03  -7727.1170  -7727.1812      0.0000
       985        12  0.214133E-03  -7726.6666  -7726.7309      0.0000
       986        12  0.214133E-03  -7727.1943  -7727.2586      0.0000
       987        12  0.214133E-03  -7726.5438  -7726.6081      0.0000
       988        12  0.214133E-03  -7726.6458  -7726.7100      0.0000
       989        12  0.214133E-03  -7726.6086  -7726.6728      0.0000
       990        12  0.214133E-03  -7727.1350  -7727.1992      0.0000
       991        12  0.214133E-03  -7727.1838  -7727.2481      0.0000
       992        12  0.214133E-03  -7726.9245  -7726.9888      0.0000
       993        12  0.214133E-03  -7727.1268  -7727.1911      0.0000
       994        12  0.214133E-03  -7726.5570  -7726.6212      0.0000
       995        12  0.214133E-03  -7726.6252  -7726.6894      0.0000
       996        12  0.214133E-03  -7726.6964  -7726.7607      0.0000
       997        12  0.214133E-03  -7726.7058  -7726.7700      0.0000
       998        12  0.214133E-03  -7726.6512  -7726.7154      0.0000
       999        12  0.214133E-03  -7726.6668  -7726.7310      0.0000
      1000        12  0.214133E-03  -7726.6762  -7726.7405      0.0000
      1001        12  0.214133E-03  -7726.6052  -7726.6694      0.0000
      1002        12  0.214133E-03  -7726.6563  -7726.7206      0.0000
      1003        12  0.214133E-03  -7726.6792  -7726.7434      0.0000
      1004        12  0.214133E-03  -7726.5891  -7726.6533      0.0000
      1005        12  0.214133E-03  -7726.6599  -7726.7242      0.0000
      1006        12  0.214133E-03  -7726.6478  -7726.7120      0.0000
      1007        12  0.214133E-03  -7726.6030  -7726.6672      0.0000
      1008        12  0.214133E-03  -7726.6252  -7726.6895      0.0000
      1009        12  0.214133E-03  -7726.6367  -7726.7010      0.0000
      1010        12  0.214133E-03  -7726.5376  -7726.6019      0.0000
      1011        12  0.214133E-03  -7726.5125  -7726.5768      0.0000
      1012        12  0.214133E-03  -7726.5082  -7726.5724      0.0000
      1013        12  0.214133E-03  -7726.5455  -7726.6098      0.0000
      1014        12  0.214133E-03  -7726.5399  -7726.6042      0.0000
      1015        12  0.214133E-03  -7726.1147  -7726.1790      0.0000
      1016        12  0.214133E-03  -7726.4948  -7726.5591      0.0000
      1017        12  0.214133E-03  -7725.9273  -7725.9915      0.0000
      1018        12  0.214133E-03  -7726.5347  -7726.5989      0.0000
      1019        12  0.214133E-03  -7726.5124  -7726.5766      0.0000
      1020        12  0.214133E-03  -7726.5138  -7726.5781      0.0000
      1021        12  0.214133E-03  -7726.5492  -7726.6134      0.0000
      1022        12  0.214133E-03  -7725.9198  -7725.9840      0.0000
      1023        12  0.214133E-03  -7726.0568  -7726.1210      0.0000
      1024        12  0.214133E-03  -7726.0243  -7726.0886      0.0000
      1025        12  0.214133E-03  -7726.0325  -7726.0967      0.0000
      1026        12  0.214133E-03  -7726.0438  -7726.1080      0.0000
      1027        12  0.214133E-03  -7726.0550  -7726.1192      0.0000
      1028        12  0.214133E-03  -7726.0220  -7726.0862      0.0000
      1029        12  0.214133E-03  -7725.9918  -7726.0561      0.0000
      1030        12  0.214133E-03  -7726.0269  -7726.0911      0.0000
      1031        12  0.214133E-03  -7726.0153  -7726.0795      0.0000
      1032        12  0.214133E-03  -7726.0331  -7726.0974      0.0000
      1033        12  0.214133E-03  -7725.9603  -7726.0245      0.0000
      1034        12  0.214133E-03  -7727.3280  -7727.3922      0.0000
      1035        12  0.214133E-03  -7727.2882  -7727.3524      0.0000
      1036        12  0.214133E-03  -7727.3342  -7727.3984      0.0000
      1037        12  0.214133E-03  -7727.2181  -7727.2824      0.0000
      1038        12  0.214133E-03  -7727.2423  -7727.3065      0.0000
      1039        12  0.214133E-03  -7727.2053  -7727.2696      0.0000
      1040        12  0.214133E-03  -7727.2186  -7727.2829      0.0000
      1041        12  0.214133E-03  -7726.7081  -7726.7723      0.0000
      1042        12  0.214133E-03  -7726.5426  -7726.6069      0.0000
      1043        12  0.214133E-03  -7727.2261  -7727.2903      0.0000
      1044        12  0.214133E-03  -7726.6269  -7726.6911      0.0000
      1045        12  0.214133E-03  -7726.6927  -7726.7570      0.0000
      1046        12  0.214133E-03  -7727.0005  -7727.0648      0.0000
      1047        12  0.214133E-03  -7727.1632  -7727.2274      0.0000
      1048        12  0.214133E-03  -7727.1885  -7727.2527      0.0000
      1049        12  0.214133E-03  -7726.6336  -7726.6978      0.0000
      1050        12  0.214133E-03  -7726.6974  -7726.7617      0.0000
      1051        12  0.214133E-03  -7726.6817  -7726.7460      0.0000
      1052        12  0.214133E-03  -7726.7219  -7726.7861      0.0000
      1053        12  0.214133E-03  -7726.7247  -7726.7890      0.0000
      1054        12  0.214133E-03  -7726.7077  -7726.7719      0.0000
      1055        12  0.214133E-03  -7726.7100  -7726.7743      0.0000
      1056        12  0.214133E-03  -7726.6473  -7726.7116      0.0000
      1057        12  0.214133E-03  -7726.7116  -7726.7758      0.0000
      1058        12  0.214133E-03  -7726.6414  -7726.7057      0.0000
      1059        12  0.214133E-03  -7726.7037  -7726.7679      0.0000
      1060        12  0.214133E-03  -7726.7133  -7726.7776      0.0000
      1061        12  0.214133E-03  -7727.3201  -7727.3843      0.0000
      1062        12  0.214133E-03  -7727.3526  -7727.4168      0.0000
      1063        12  0.214133E-03  -7726.6852  -7726.7494      0.0000
      1064        12  0.214133E-03  -7727.2256  -7727.2898      0.0000
      1065        12  0.214133E-03  -7727.1929  -7727.2572      0.0000
      1066        12  0.214133E-03  -7727.2516  -7727.3159      0.0000
      1067        12  0.214133E-03  -7727.2677  -7727.3319      0.0000
      1068        12  0.214133E-03  -7726.7412  -7726.8054      0.0000
      1069        12  0.214133E-03  -7727.2214  -7727.2856      0.0000
      1070        12  0.214133E-03  -7726.5456  -7726.6099      0.0000
      1071        12  0.214133E-03  -7727.1936  -7727.2578      0.0000
      1072        12  0.214133E-03  -7726.7015  -7726.7657      0.0000
      1073        12  0.214133E-03  -7727.2070  -7727.2712      0.0000
      1074        12  0.214133E-03  -7727.1636  -7727.2278      0.0000
      1075        12  0.214133E-03  -7726.6341  -7726.6983      0.0000
      1076        12  0.214133E-03  -7726.7101  -7726.7744      0.0000
      1077        12  0.214133E-03  -7726.7313  -7726.7956      0.0000
      1078        12  0.214133E-03  -7726.7148  -7726.7791      0.0000
      1079        12  0.214133E-03  -7726.6614  -7726.7256      0.0000
      1080        12  0.214133E-03  -7726.7431  -7726.8073      0.0000
      1081        12  0.214133E-03  -7726.7278  -7726.7921      0.0000
      1082        12  0.214133E-03  -7726.6042  -7726.6684      0.0000
      1083        12  0.214133E-03  -7726.7083  -7726.7726      0.0000
      1084        12  0.214133E-03  -7726.7221  -7726.7864      0.0000
      1085        12  0.214133E-03  -7726.7079  -7726.7721      0.0000
      1086        12  0.214133E-03  -7726.7049  -7726.7692      0.0000
      1087        12  0.214133E-03  -7727.3133  -7727.3776      0.0000
