    62      6   13   20	-7733.65159805	3650.145754	11.939938	11.957134	29.520942	89.552647	90.017555	119.991505
    66      6   13   24	-7733.55954415	3650.021193	11.982626	11.913439	29.505759	89.358524	90.286753	119.932237
    59      6   13   16	-7733.55334805	3648.969550	11.940995	11.909544	29.549851	90.004592	90.005019	119.736117
    61      6   13   19	-7733.54760048	3648.796506	11.923525	11.927405	29.547735	89.507095	90.503500	119.732090
     2      6    1    4	-7733.53733157	3650.137716	11.930764	12.000990	29.520592	90.087211	89.843333	120.279517
     4      6    1    7	-7733.52481364	3649.782471	11.975418	11.954603	29.523196	89.831142	90.087788	120.284220
     1     12    1    2	-7733.51688455	3649.599062	11.932633	11.953598	29.530277	90.380943	89.799881	119.949301
     3     12    1    5	-7733.51650580	3649.367854	11.933059	11.952337	29.534256	89.823786	90.421628	119.961529
     7      6    1   10	-7733.51174911	3650.201598	11.976622	11.956140	29.519213	90.381765	90.123458	120.278453
    60     12   13   17	-7733.50891024	3648.729892	11.967256	11.927229	29.532996	89.534690	90.105347	120.049035
     6      6    1    9	-7733.50628374	3650.278886	11.937881	12.004057	29.517648	90.100339	90.398265	120.345613
    20     12    1   23	-7733.49328054	3647.402724	11.941706	11.999766	29.503108	90.207386	90.316396	120.370884
     5      6    1    8	-7733.49303633	3649.104368	11.928564	11.953236	29.541960	90.412310	89.793688	119.964794
    63      6   13   21	-7733.49024286	3648.993633	11.972593	11.914704	29.526321	89.926869	90.101209	119.962867
    58     12   13   14	-7733.46312747	3648.782454	11.961136	11.925886	29.537595	89.810227	90.263541	120.003652
     8      6    1   11	-7733.45042580	3649.965568	11.927175	11.956003	29.535331	89.781253	90.380941	119.930818
    16     12    1   19	-7733.44060986	3647.611775	11.920520	11.959477	29.545272	89.905182	90.419126	120.001056
    21     12    1   24	-7733.42984174	3648.507958	11.974463	11.948669	29.516963	89.796986	90.203145	120.240809
    18     12    1   21	-7733.42891297	3648.409280	11.976770	11.951034	29.512629	90.390479	90.032013	120.264895
    65      6   13   23	-7733.40454969	3648.112064	11.942659	11.948311	29.529259	89.769145	90.305977	120.026454
    13     12    1   16	-7733.40053054	3647.870235	11.938606	11.942388	29.545962	90.403820	89.906613	120.005110
    77     12   13   35	-7733.36788780	3646.920131	11.949839	11.927136	29.482923	89.336612	90.415287	119.780442
    75     12   13   33	-7733.36522146	3647.318774	11.945159	11.949135	29.482265	89.572796	90.494121	119.914655
    69     12   13   27	-7733.35131880	3647.366279	11.966185	11.932549	29.480104	89.368260	90.302440	119.941153
    19     12    1   22	-7733.34713497	3646.999293	11.929917	11.961960	29.524302	90.270243	89.811597	120.047779
    78     12   13   36	-7733.33634577	3647.598202	11.946873	11.950255	29.482327	89.793755	89.889074	119.933635
    71     12   13   29	-7733.32711569	3646.335305	11.943318	11.936812	29.479745	89.465406	90.533923	119.813266
    74     12   13   32	-7733.32108493	3647.203384	11.954928	11.929393	29.473268	89.989054	89.997356	119.808287
    14     12    1   17	-7733.31492236	3646.843736	11.963068	11.960480	29.528527	89.965243	90.003607	120.328327
    68     12   13   26	-7733.31385887	3646.724940	11.942281	11.934772	29.482287	89.886695	89.877045	119.790377
    73     12   13   31	-7733.31294167	3646.722949	11.966438	11.934628	29.487184	89.508150	90.068704	120.003696
    84     12   13   42	-7733.30704147	3647.717005	11.940059	11.904404	29.553307	89.416094	90.326771	119.725892
    12     12    1   15	-7733.30577647	3647.653716	11.926850	11.986481	29.533154	90.162140	89.851816	120.237008
    72     12   13   30	-7733.28343256	3647.830103	11.960634	11.933209	29.484699	89.908383	90.123309	119.909141
    83     12   13   41	-7733.27951755	3648.116675	11.928018	11.942670	29.539351	89.775741	90.009287	119.891984
    80     12   13   38	-7733.27385108	3648.097037	11.923740	11.942974	29.547089	89.568614	90.398939	119.882881
    70     12   13   28	-7733.26996230	3646.352008	11.950525	11.950825	29.485276	89.577862	90.010850	120.010685
    81     12   13   39	-7733.24001028	3646.988812	11.939822	11.907658	29.551440	89.903329	90.080521	119.770051
    89     12   13   47	-7733.23881735	3648.138934	11.958385	11.911190	29.546332	89.873697	90.093386	119.905997
    90     12   13   48	-7733.23660723	3646.614409	11.919962	11.925147	29.553904	89.586809	90.402725	119.765713
    87     12   13   45	-7733.21892675	3646.743293	11.922517	11.925927	29.550438	89.802680	89.968358	119.780900
    11     12    1   14	-7733.21375245	3646.935951	11.956363	11.959737	29.537139	90.208156	90.144126	120.291521
    26     12    1   29	-7733.21067351	3645.078752	11.939670	11.969092	29.479019	89.879168	90.435653	120.085965
    32     12    1   35	-7733.19834109	3645.363586	11.946758	11.962264	29.475937	89.763484	90.324244	120.071513
    24     12    1   27	-7733.19416686	3646.048757	11.963396	11.965172	29.479260	89.795899	90.202053	120.226224
    30     12    1   33	-7733.19216581	3645.890153	11.943997	11.982135	29.483445	89.987891	90.385908	120.222110
    33     12    1   36	-7733.18574448	3646.050865	11.945325	11.983539	29.479305	90.210966	89.769108	120.228345
    85     12   13   43	-7733.17831737	3647.440286	11.940635	11.940087	29.534806	89.771114	90.240171	119.978653
    23     12    1   26	-7733.17520679	3645.140530	11.939863	11.968302	29.481888	90.295694	89.781226	120.090629
    82     12   13   40	-7733.16307526	3647.222953	11.954727	11.925520	29.537966	89.724687	90.279734	119.990653
    22     12    1   25	-7733.15893432	3644.874002	11.947571	11.983685	29.486181	90.217674	90.269976	120.299971
    25     12    1   28	-7733.15762710	3645.228869	11.948445	11.983581	29.483748	89.980485	89.918408	120.292078
   105     12   25   29	-7733.14760294	3643.032289	11.947667	11.973490	29.419744	89.914841	90.525262	120.043222
    10     12    1   13	-7733.14759516	3650.205514	11.944685	11.948143	29.532965	89.744593	90.321500	119.997217
